Comment|No|Yes|Kind of offensive language
Ukraina i Rosja żyła w pokoju zanim ktoś trzeci nie zorganizował na majdanie zamach stanu. ktoś który chce uwikłać Europę w wojnę aby zrealizować swój niecny cel panowania nad światem. PRZECZYTAJ !!! "Protokoły mędrców Syjonu" (żydzi rozpowiadają ,że są fałszywe )   Przeczytajcie  te protokoły !! a otworzą wam się oczy . Dowiecie się kto rządzi,dlaczego  wszechobecne są    kłamstwa ,oszustwa ,do czego potrzebne są im   terroryzm , wojny  i jaki  chcą przygotować gojom koniec .|56|253|1
szkoda ze nie pek|3|7|1
Długie kolejki do okulistów w Polsce tłumaczą to, co napisałeś.|1|6|1
to są koledzy towarzysza  piotrowicza ten sam styl napuszczania jednych na drugich,robił tak gomółka ..........bolszewizm w czystej postaci......teraz towarzysz pierwszy sekretarz PZPR kaczyński robi to samo........ostatnio w tz.tv,narodowej napuszcza się opinię publiczną na Niemców aby podsycać tą nienawiść ,w dzisiejszych wiadomościach dziś wzięto się za Wałęsę...........co do TK. to pamiętam co kaczyński i jego eunuchy mówili na temat sędziów Trybunału,no i skutki tej nagonki się objawiają w postaci gróżb karalnych,tylko jak patrzę na ostatnie poczynania komendanta policji ,to nie wydaje się aby policja znalazła osoby,które wypisują te grożby ................................|3|1|1
nauka kacza nie idzie w las -----kaczory juz dawno , SPALILY KUKLE PANA PREZYDENTA WALESY < KUKLY ZYDA NIE PALILI <BO SAMI ZYDAMI SA ! WIEC "ZIOMKA "PALIC NIE WYPADALO !|7|2|1
PiSlam się rozprzestrzenia. Kto nie mówi jak PiS jest niewierny i nie ma racji bytu. Szkoda jej jak i paru innych którzy na dniach odejdą.|1|0|1
my obywatele tego kraju będziemy się śmiać i cieszyć jak tego małego spasionego rycerzyka zaczniemy dożywotnio internować!!!|0|1|1
Nikt nie pyta się nas jakie twarze chcemy oglądać w TVP, pożegnaliśmy się z ELITA,ja się wy pis uje bo  rządzą  h....je,zapytaj się teraz kto głosował na PIS -oczywiście nikt|2|0|1
MERKEL POwinna DAĆ SIE WYMACAĆ|405|278|1
Uspokoiła mnie ta wiadomość, myślałem, że ta "psycholka" wcześniej odejdzie. Ta osoba wymaga opieki psychologa, a może psychiatry. Patrząc w jej oczy wpada się w agresję, bo z nich jest emitowana agresja. Taka osoba nie powinna nigdy mieć bezpośredniego kontaktu z widzem. Może powinna zmienić zawód, bo to taki śledczy politruk jest. Moim zdaniem byłaby dobrym prokuratorem, bo sędzią już nie. Ona w agresji przebiła nawet Monikę Olejnik. To jest osoba, która od razu wzbudza agresję i podnosi poziom agresji u widza. Ja osobiście bałem się patrzeć tej wściekłej osobie w oczy.|2|1|1
A gdzie kaczory wtedy byly. Pod spodnica u mamy. Ja mialem siedem lat i kolegami zycalismy kamieniami w zomo jak teraz pis jest. A gdzie ty byles kawalerze wieczny jarek.|4|3|1
znałem ten tekst 20 lat temu mając 15 lat. pisowskie ciemniaki newsa znalazły, buhahahahhahah|1|0|1
Wreszcie. Ta naba to zwykły obrzydliwy volksdeutsch. Brzydzę się nią tak samo jak tym śmieciem lisem, feeeeeeeee!!|1|0|1
Oj Miriam Miriam pomolestował bym Cię!..|3|0|1
Co za draństwo ten facet uprawia wobec własnego Narodu !!!!!!!!!   a mówią, że     jak "rudy to fałszywy" .. sama prawda|11|5|1
Wiesław Dębski , sługus PO już chce rozliczać PiS chociaż oni dopiero zaczęli rządzić. Ty się lepiej dziadu zastanów, stoisz nad grobem i tyle w tobie nienawiści.|4|3|1
Ojojoj szkoda że nie pękł. Byłoby po kłopocie.|4|3|1
tak tak opwoadajcie ludzim bzdury pis popiera grupka pomylonych polskich alkoholikow i ludzi psychicznie nie dorozwinietych|7|2|1
pocalujcie ichn w żope|2|0|1
Ta. I ta Schetyna z uśmiechem maniaka sadysty|144|101|1
gorzej niż zwierzęta!!!!|0|1|1
Spoko, to jeszcze tylko 3,5 roku i te ziemniaki odejdą w niebyt.|2|0|1
Panie prezydencie niech pan nie debatuje z tymi pisowskimi fagasami, nie są Panu butów warci lizać. Dziękujemy za wyzwolenie Polski od komuny, a niewiarygodnymi mendami nie ma co się przejmować|6|1|1
Co za szczujnia. Sami złożyli dymisje.|2|6|1
Gośćmi.... tylko chwile kotku potem złapią cie na ulicy i wydymają jak koze|0|3|1
Wszystkich prawicowych nieudaczników życiowych pozdrawiam!. Prezes da wam wszystko!  polska będzie potengom, buahahaha|7|3|1
FOLKSDOJCZ TUSSK ZDRAJCĄ POLSKI JEST!|32|14|1
Bo gupiego jak ty martwią tylko  rzeczy mało istotne , POproś o lepsze leki|27|23|1
A MOŻE ZNALAZŁA  NA CHWILĘ CHŁOPA Z DOBRYM SPRZĘTEM|2|4|1
Pisanie o tej kobicinir redaktorka to PROFANACJA  typowy resortowy dzieciak którego odgoniono od koryta i kwiczy kwi kwi kwi kwi kwi chrum kwi kwi|1|0|1
do_sklave.....wstałeś jak zwykle rano pajacu i coś ci się nie podoba...a to bajeczki a to broszka....nie wyrokuj na zaś czy to bajeczka to ocena za jakiś czas."Mohery" to rozważny Naród i tych przybyło w czasie ostatniego głosowania  a to oznacza ,że rośnie tabun popaprańców....ale"ięcej na sklave.glowna" błaźnie|7|3|1
Z mężem zrobiliśmy zakaz oglądania 1,2 info choć ceniliśmy te nośniki info - to mały krok który możemy przeciwstawić sie z tym co zastaliśmy po nowych władzach rządzących choć byliśmy blisko im  -  dzis mowię na to sekta która sie tworzy jeżeli nie odsunie JK szarlatana to to co uzyskała straci - bo PiS to nie tylko JK i KP opętani samotni ludzie ..... Bo są inteligentni kreatywni ale kiedy nie ma JK .... W pobliżu z całym szacunkiem ale  JK nawet nie szanuje swojego zmarłego brata.|1|0|1
POLKI tez to lubią - ARABSKI KLOCEK NA KLATĘ ZA PARĘ DOLCÓW ?!|1|0|1
Staruch bdziecinnieje, coraz wiecej bedzie go - bez powodu - cieszyc, a juz napewno jak ostatecznie rozłoży Polske i zda na laske Rosji, bo coraz wyraźniej o to mu chodzi. Moze dlatego UB nie internowała go w stanie wojennym?|0|4|1
KUHWA !!!!!!!!!!!!!!! LECZ SIĘ , PEWNIE JUŻ JESTEŚ ZAPISANY DO SPECJALISTY!!!!!!!!!!!!!!!!!!|0|2|1
Miną cztery lata i jak rozliczyć Maciarewicza? Karać sądownie? To nieetyczne. Przecież nie można karać chorego człowieka. Wątpliwe ale jak by się okazało że zdrowy na umyśle, to go jeszcze zdąży pan Prezydent na polecenie pana Prezesa ułaskawić. A Prezes ma zawsze rację. No nie ma wyjścia...|0|1|1
WYDALIĆ TO BARACHŁO Z EUROPY A TYM KTÓRZY ZBLIŻĄ SIĘ DO NASZYCH KOBIET OBCIĄĆ JAJA I PO KRZYKU.|0|9|1
A co to ścierwo z GW tam jeszcze robiło. Poziom tego co ma do powiedzenia jest mniejszy niż zero , wygląd jakby pół dnia waliła łbem o ścianę płaczu. A co ci proponowali? pilnowanie parkingu albo portiernię ty prawdomówna wtyczko Michnika - Szechtera.|3|2|1
chyba to ty jesteś tym psychopatą na przepustce weekendowej z Tworek -  PO POwrocie POproś o mocniejsze leki może ci POmogą|2|1|1
Wyglada jak brezniew przed smiercia....ochyda jaki oblesny.|0|3|1
Po prostu nie do wiary jak glupi, prymitywni i zaslepieni sa zwolennicy karla, ktory razem z bratem ukradl ksiezyc, a teraz rozkrada Polske. Ale czego tu szukac, elektorat PIS-u to glownie niewyksztalcone osoby w wieku 20-30 lat, mieszkajace na terenach wiejskich, bez wlasnego rozumu, liczace na to, ze pan prezes da im gory zlota. Takich oszukac nie sztuka. Pozdrawiam wszystkie barany pasace sie na polskich łąkach. Howgh.|3|1|1
I bardzo dobrze że powywalali te POwskie zakłamane pieski z TVP.Kraśko to była parodia dziennikarza,stronniczy do bólu za PO,nierzetelny ,niedouczony ,przerywał gościom opozycji a POwskim właził w tyłek jak po maśle.Hanka Lis to chyba tylko po znajomościach dostałata prace bo miała ciągle amnezję na wizji i nie wiedziała jak nazywają sie jej goście a zarabiała 30tysięcy złotych miesięcznie to mogła sobie cos na pamięc kupić|3|2|1
teraz sie wszystko poprzewracalo karzel ktory w stanie wojennym spal do poludnia teraz oglosil sie jedynym sprawiedliwym i pluje na ludzi solidarnosci a za swoich wspolpracownikow ma prokuratora PRL piotrowicza i komucha jasinskiego ktory zostal prezesem Orlenu ale wstyd na caly swiat|1|0|1
Sam jesteś odpadem zamieść swoje zdjęcie to popatrzymy jaki jesteś piękny ? i czy nie czasem głupi Jasiu !|1|0|1
Jego rechot mnie poraża!!!!!!!!!!!!|3|3|1
WON PISIORY, za 4 lata was zamieciemy.|36|13|1
Red tube ogląda jak araby ubogacają 4 Rzesze|42|11|1
Jeśli PO zwalniało przejmując władzę, to jakim cudem ta pani pracowała 30 lat w tv? Ktoś tu chyba ma problemy z matmą. W sumie wśród wyborców PiSu analfabetyzm to standard.|6|2|1
A byłeś już u innego lekarza? ty to Vip a nie vik tobie za tych co rozkradali Polskę przez 8 lat było na pewno dobrze ale czas na zmianę prymitywny pracodawco|8|5|1
ten glizda z pisu znowu się popisał-śmieją się z niego na jego b. uczelni|6|0|1
ty na razie  tylko  POmylonym  małego rozmiaru za małe pieniądze skomlący  kundelku|1|0|1
Bardzo dobrze dziewczyno, przynajmniej nie będziesz pacholkiem kaczego pseudo prularizmu!!!!  Szacun, prace sobie znajdziesz bo jesteś bardzo dobra dziennikarką!!!!  Nie tak jak czopek - Popek sprzedawczyk!!!  Trzymaj fason!!!!  Poważnie!!!|14|4|1
Autorze, jak widzisz ciemność to jesteś ślepy. Jak jesteś ślepy to nie pisz, bo nie masz o czym.  A w związku z obniżeniem ratingu przez S&P to dobrze byłoby uchwalić ustawę antybangsterską. Czyli im słabsza złotówka, tym większy udział w kosztach banku udzielającego kredyt we frankach szwajcarskich. Podobne rozwiązanie można by zastosować np w podatku od zysków banków, itp.|4|2|1
Ci co pisali te skargi itp do polsatu o przywrócenie tego filmu powinni się leczyć, to najłagodniejsze stwierdzenie jakie mogę wyrazić|10|2|1
nie ma kolesiostwa w PiS, są rzeczowe i realne działania, jest to czego brakowało posr5ańcom|0|0|1
Falstarcik Wiesiu, cóż zapłacili to wypociłeś,wstyd ,niby poważny człowiek|1|0|1
Propaganda jak zs Komuny. Teraz stare baby z rozancem w reku do klechy modlic sie o powrot chociaz ciut normalnosci w tym kraju.|2|1|1
Panie Debski...skoncz Pan buntowac  narod....za PO to dopiero było mleko i miód....okradanie społeczenstwa było na kazdym kroku...nie bede wyliczał ile było tych przekretow bo było tego sporo....a Pan ciagle swoje jak to zle jest za PIS ...Daj Pan spokoj ....widze ze jeszcze Pan nie zrozumiał ze stołki runeły i idzie cos wrescie nowego...idz Pan na urlop i troche odpocznij....moze do Pana tepej głowy cos dotrze....lizusie PO....|8|6|1
ale kundelki ujadaj, jeszcze PiS nie zaczal rzadzic a juz pluja jadem|2|6|1
Was z PełO i NOWOCZESANEJ PRL trzeba inwigilować, ponieważ jesteście donosicielami, szpiegami, nie ma w was poczucia polskości i jesteście d.POwłazami tych biurokratów darmozjadów niemieckich w Brukseli...|25|31|1
biedny punku za dużo się nawąchałeś kleju i  masz halucynacje|1|0|1
hejterzy pisowscy łączcie się !|15|14|1
mentos to ty? ćpunek z Tarczyna|11|1|1
@jank szczur ze szamba sie odezwal|10|5|1
proponuje zeby wszyscy normalni polacy zrezygnowali z placenia za TV(oczywiscie lgalnie- wypowiedzenie) niech DUPKI odczuja swoja glupote.|3|1|1
Chamota z PiSu musi ponieśc konsekwencje gnojenia ludzi. Kiedyś komuna gnoiła dziś robi to Kaczyński i PiS. Ludzie, jakież wy macie sprane mózgi, że by na PiS głosować w wyborach.|13|4|1
Tusk dla Polaków jest zwykłym zdrajcą.|102|77|1
Niech wracają do siebie i swoich rodzin, które zostawili na pastwę wojny! Tchórze zakichane! Islam to przekleństwo. Przedmiotowe traktowanie kobiety. Powinno sie odwrócić role i to facetów zniewolić i gwałcić do utraty przytomności. Może by pojęli, chociaż to głupki, nic im nie przetłumaczysz...Kastrować jak im jadra puchną i tyle.|1|31|1
Lewicka dziennikarski smiec|1|0|1
Ty pyszałku z Sopotu wydarzenia za Odrą są bardziej interesujące i koniecznie wymagają dyskusji na forum UE były Polaku.|31|12|1
Miło popatrzeć jak się Jarek śmieje; po wykrzywionej paszczy Kopary-Kłamacz to ulga dla oczu:)))|3|2|1
Już myślałam że ten bezzębny kasztan nauczył się posługiwać tabletem. Dałam ciała bo przecież on nawet drzwi z klamki otworzyć nie umie.|1|1|1
Jego śmieszą tylko XVII to wieczne teksty , niestety współczesnego świata nie jest w stanie zrozumieć . Z tej radości pewnie nabrał ochoty na harce i jak wrócił do domciu to odwrócił kota ogonem...|1|0|1
KABEL...KABEL...KABEL...KABEL..Tak wygląda kabel...W Brukseli bredzi że jest w Polsce wrogiem publicznym nr.1...Ma aż tak wysokie mniemanie o sobie?|13|6|1
JAK IM WESOŁO SIĘ PRACUJE ZA NASZE PIENIĄDZE.JARUŚ ZĄBKI WYLECZYŁ BO TAK ZASŁANIAŁ USTECZKA. DUDUŚ TO CAŁĄ GĘBĄ SIE SMIEJE, ŻE ZROBILI POLAKÓW W KONIA.|4|7|1
gebilu po co sie produkujesz?|1|0|1
bo dałny tak się zachowują  atak śmiechu samego siebie|0|2|1
Popaprańcy, psl, nowoczesna wyszli z sali? I krzyż im na drogę. Wyszli i niech nie wracają hru im w dru. Widocznie są nie potrzebni. Odebrać immunitety, niech zdadzą mandaty.|35|11|1
Podobno oglądał filmik na którym koty się bzykały.|1|1|1
TO NIECH SIĘ ZAJMIE UNIĄ, BO NIC TAM NIE ROBI. SŁYCHAĆ JAK SIE MIOTA I REALIZUJE POLECENIA KRAJÓW WPŁYWOWYCH, DLATEGO JEST PRZEWODNICZACYM. TUSK TO MARIONETKA W REKACH NIEMCÓW. LIŻED.... I CZEKA NA INNE SMAKI !!! TO JEST DESPOTA I CYNIK.|7|4|1
Liberal bedzie zawsze klamca i kretaczem!!!! Ten kto pomimo to idzie za PO to jest najprawdopodobnie NIENORMALNY....|54|37|1
nie strasz, nie strasz bo się zesr...|14|17|1
Tusk to zdrajca! Przestępca który zastał Polskę murowana a zostawił zrujnowaną .|27|14|1
Do <next>  Dziwaczność twego rozumowania wynika z braku inteligencji czy głupoty?|2|0|1
NO PO  MARNIE SIE STARACIE ,MUSICIE SKLADAC SKARGI GDZIE TYLKO SIE DA  ,POLACY CENIA SOBIE KAPUSIOW I MACIE ICH POPARCIE  IM BARDZIEJ SZKODZICIE POLSCE TYM WIECEJ ZYSKUJECIE  HAHAHAHAHAHA|64|28|1
powinni wymacać makrelę , może tak chciała|2|2|1
nawet judasz  miał  więcej  honoru  bo  się  powiesił niż Bolek|1|0|1
A juz myślałem, ze bąka fajnego puscił.|1|3|1
Tylko gadacie i gadacie.To wyjdzie na ulice wszyscy i pokazcie  gdzie macie tuska-fraj....donosiciela  .Jesli wyjdzie was kilka milionów ludzi to wtedy unia sie przerazi i dojda do wniosku ze POLSKA tekoch zmian chce.Nowoczesna wychodzi z banda z podwórka i unia już porusza sie .|11|5|1
a ten baran powinien zwolnionym płacić pensje do emerytury !!!!!!!!!|3|1|1
lemingi są głupsze od jego kota...|1|1|1
Na wujka Putina i jego wywiad w tym momencie nie możemy liczyć, że zlikwiduję resztę pisowców jak gdzieś tam kiedyś w Rosji bo w tym wypadku jest mu to na rękę. Trzeba modlić się o jakiegoś dobrego terrorystę co wysadzi ich wszystkich w powietrze.|1|0|1
masz klasę niech pis sie w d......e|11|4|1
hmmm, czemu tu tyle piszących półgłówków? A nie wiesz do czego służą szare komórki?|2|0|1
AKADEMICKI DILER ZIELSKA NA LEWACKIM STOŁKU|109|8|1
Ten dziadek Kaczyński robi wrażenie niepełnosprawnego umysłowo i powinien być na emeryturze, jego brat to pewnie w grobie się przewraca, taki dziadek to ma swój rozum z białego czarne potrafi zrobić i na odwrót, dziwię się,  że pis ma jeszcze takie poparcie nikt z moich znajomych nie popiera tej partii nawet ci, którzy na nich wcześniej głosowali.Ten się śmieje kto się śmieje ostatni dziadku."Spiepszaj dziadu".|5|3|1
ale banda te polaczki ! a redaktorek z wp to najwiekszy faszysta|2|1|1
ta kreatura  śmieje się z nas !|3|6|1
i jak tu nie zgodzić się z POwiedzeniem ,że jak  RUDY TO FALSZYWY|32|15|1
Wkrótce wszystko znowu nastanie porządek. Reżim vel. kaczyzm długo się nie utrzyma , bo Polacy nie pozwolą sobie na kolejne zniewolenie. Trybunał Stanu czeka na sitwę z pisu.|3|0|1
Nigdy wiecej patologi politycznej spod znaku PIs.MIej odwage badz jak bieron konusie.|17|12|1
Mam wrażenie ze nawet jak PiS nasra na swoich wyborców to Ci i tak będą na nich głosować. Głupi kraj, głupi ludzie .|21|13|1
do_antypis....jaka krew Blidy durniu....sama się na to przygotowała (broń w łazience gotowa do użytku).....błąd polegał na przepisowym działaniu a powinni powalić na glebę to by żyła.......a co zostało z obietnic Tuska chyba to zadłużenie wzrosło do ponad 1 bilona|4|3|1
A PETRUDOLAR ,nie wie,on nawet wiedział ,od kumpli ,kiedy swój kredyt przewalutowac i wtedy nie podzielił sie tymi wiadomościami z POLAKAMI.TYLKO TERAZ RUMUNSKI PASTUCH TAKI MUNDRY|7|11|1
I taka jest prawdziwa twarz Kaczyńskiego,małego, płytkiego człowieczka|4|7|1
Zaczyna puszczać farbę kapuś strach powiedzieć co będzie jak przyjedzie do kraju jak go naród przyjmie.Nie jest Pan w porządku PANIE TUSK / ZDRAJCA/|12|5|1
Ewa używanie rozumu nie boli - pod warunkiem że się jeszcze go ma|0|0|1
Wszystkie "przesadne"obawy sie niestety sprawdzaja.Polska brunatnieje.Mniejszosc zaczyna narzucac coraz bezczelniej swoja chore wizje.Wkrotce kibole,czyli"prawdziwi patrioci" z kijami bejsbolowymi zaczna zastepowac politykow w "czarnej robocie"w rozpedzaniu manifestacji KOD-u,itd,itd.|3|1|1
Grozi nam tez katolizacja!!!! Panstwo nie powinno popierac zadnych religijnych kitów i mitów.|17|7|1
atom by ich uspokoił   nie ma co ukrywać z drugiej strony francja mogła się nie wpierdalac .|0|0|1
Uczciwi ludzie z PO -żenada-|391|211|1
Nastepna akcja maluczkiego Geobelsa pis pana "glupi to kupia" kurskiego szefa  TVPISS .Ten slawny "tworca" propaganowek pisu zostal wynagrodzony przez prezesa .SZCZWANY WILK "pilnuje " owieczek.|10|1|1
Pani Karolino głowa do góry pokazać tym gnidom PiS owskim ze ma pani swoją godność i rządem zdrajca narodu nie będzie pani obrażał boją się nas ,, Gorszego Sortu" to sobie wykupili uwielbienie pseudo kibiców tak samo pustych jak PiS za pozwolenie handlu narkotykami na stadionach i legalnymi ustawkami którzy do tego kompromitują Jasna Górę pielgrzymkami|34|15|1
ROBIĆ Z WOLNEGO PAŃSTWA , PAŃSTWO POLICYJNE, NA PODSŁUCHACH I BEZPRAWNE RZĄDZENIE TO WEDŁUG CIEBIE SPRZĄTANIE ????!!!!!!!!!!!!!!  LECZ SIĘ TAM GDZIE POWINNI DUDA I JARECZEK !!!!! ODDZIAŁ ZAMKNIĘTY !|59|43|1
Jak się cieszę że już tej funkcjonariuszki PO nie będę oglądał w telewizji PO! Lemingi szczekają, a karawana jedzie dalej. Rozwalić III RP czyli dyktaturę różowo-niebieskich!|2|1|1
Jajka to znak rozpoznawczy PIS-u :) Nie pozwoliłem powiesić banera PIS-u na ogrodzeniu mojego lokalu to na drugi dzień obrzucili ściany jajkami.... To są prości ludzie szerząc ciemnotę i zacofanie|0|0|1
A ile ty malolacie masz wiosen ze podpierasz sie epoka Stalina. Ja wtedy juz wiele rozumialem i wiem jak bylo. Jak ci smarku ktos naopowiadal bajek z mchu i paproci to przynajmniej powiedz ze ci sie snilo|10|3|1
Raczej kundelki z kodu....|14|12|1
Tusk chce reaktywować Targowicę - dziadek z Wehrmachtu byłby z niego dumny...|10|3|1
Odchodzi i po sprawie? Bez poniesienia konsekwencji za swoją antypolską, nie mającą z dziennikarstwem nic wspólnego działalnością? Polska to raj dla hien.|2|1|1
Ale prymitywny propagandzista. Prymitywna propaganda w sam raz dla wyborców PO.|1|0|1
no to niech zacznie krytykowac merkel za zdrade Europy i spowodowanie potopu muzulmanskiego! ale moze mu to sie jako socjaliscie z przeszloscia tatusia z SS, ze kraje Europy zostana zniszczone? Ale moze niech ten pan najpierw przestanie tyle pic i chociaz podstawowke skonczy, bo co bedzie robil po usunieciu go z PE jako pijak i analfabeta?|729|437|1
Dębski,dziad z sitw któremu niepowodzenia rządu i podkładanie nogi przez kolegów drani i sprzedawczyków jest na rękę,to ten który cieszy się że jego rodzina i on żyje na bogato,cieszy się też kiedy widzi swojego żebrzącego sąsiada bo ma satysfakcję z tego że on tak nie musi,sługus i drań.|3|1|1
ZDRAJCA !   ZDRAJCA !  po trzykroć  ZDRAJCA !|31|13|1
